Question_Number,Question,Difficulty,Answer
1,What are the three main tech stocks tracked in the 2024 daily fundamentals data?,Easy,"Amazon (AMZN), Microsoft (MSFT), and Alphabet/Google (GOOGL)"
2,"In the CSV data, what does the ""Close"" column represent?",Easy,The closing price of the stock at the end of each trading day
3,"What trading metric is recorded in the ""Volume"" column?",Easy,The total number of shares traded during that trading day
4,"What does the ""High"" column in daily stock data indicate?",Easy,The highest price at which the stock traded during that day
5,"What does the ""Low"" column represent in the daily data?",Easy,The lowest price at which the stock traded during that day
6,"What information is contained in the ""Dividends"" column?",Medium,The dividend payment amount per share issued on that date (0.0 if no dividend)
7,"What does the ""Stock Splits"" column track?",Medium,"Whether a stock split occurred (0.0 for no split, or the split ratio if one occurred)"
8,"What does ""PE Ratio"" measure according to the CSV columns?",Medium,"Price-to-Earnings ratio, which is the stock price divided by earnings per share"
9,"What does the ""PEG Ratio"" column represent?",Medium,"Price/Earnings to Growth ratio, which adjusts the P/E ratio for expected earnings growth"
10,"What metric is ""PB Ratio"" in the dataset?",Medium,"Price-to-Book ratio, the stock price divided by book value per share"
11,"What does ""EPS"" stand for in the fundamental data?",Easy,"Earnings Per Share, which represents the profit per outstanding share"
12,"What does ""ROE"" measure in the CSV data?",Medium,"Return on Equity, which shows how efficiently a company uses shareholder capital"
13,"What does ""ROA"" indicate in financial metrics?",Medium,"Return on Assets, which measures how efficiently a company uses its total assets"
14,"What does the ""Beta"" column represent?",Medium,A measure of stock volatility relative to the overall market (1.0 = market average)
15,"What information does ""Dividend Yield"" provide?",Medium,The annual dividend per share as a percentage of the current stock price
16,"What does ""Debt to Equity"" ratio measure?",Hard,The proportion of debt and equity used to finance a company's assets (leverage)
17,"What does ""Book Value"" represent in the fundamental data?",Hard,The net asset value per share (Total Assets minus Liabilities divided by shares outstanding)
18,"What does ""EBITDA"" stand for in the CSV data?",Hard,"Earnings Before Interest, Taxes, Depreciation, and Amortization - an operating performance measure"
19,"What metric is ""Price to Sales"" (PriceToSales) in the dataset?",Medium,"The stock price divided by revenue per share, used to value companies"
20,"What does ""Market Cap"" represent?",Easy,Market Capitalization - the total market value of a company's outstanding shares
21,"What information is in the ""Quarter"" column?",Easy,"The fiscal quarter (Q1, Q2, Q3, Q4) to which the fundamental metrics apply"
22,"What does ""Revenue"" represent in the fundamentals data?",Easy,The total income generated by the company from selling goods or services
23,"What does ""Profit"" indicate in the CSV columns?",Medium,"Net income or earnings - revenue minus all expenses, taxes, and costs"
24,"What is ""Networth"" in the financial metrics?",Medium,Total shareholders' equity - the difference between total assets and total liabilities
25,"What does ""Face Value"" represent in stock data?",Hard,The nominal or par value of the stock assigned by the company at issuance
26,What time period does the 2024 daily stock data cover?,Easy,"The entire year 2024 - from January 2, 2024 to December 31, 2024 (trading days only)"
27,"In the CSV data, what does a consistent PE Ratio across multiple days indicate?",Hard,"That the stock price and earnings per share moved proportionally, or earnings data is reported quarterly"
28,"What can you determine if a stock's ""Open"" price differs from the ""Close"" price?",Medium,"The direction and magnitude of intraday price movement (bullish if close > open, bearish if close < open)"
29,"Why might ""Ticker"" symbols like AMZN, MSFT, and GOOGL be important in the dataset?",Easy,They uniquely identify each company for easy reference and distinguish between different stocks
30,What is the purpose of including both daily price data and quarterly fundamental metrics?,Hard,"To allow analysis of how fundamental metrics (profitability, efficiency) correlate with daily price movements"
